Date,Fajr,Zuhr,Asr,Maghrib,Isha
1,05:30,13:45,18:15,19:52,21:45
2,05:30,13:45,18:15,19:49,21:45
3,05:30,13:45,18:15,19:47,21:45
4,05:30,13:45,18:00,19:45,21:45
5,05:45,13:45,18:00,19:43,21:45
6,05:45,13:45,18:00,19:41,21:45
7,05:45,13:45,18:00,19:39,21:45
8,05:45,13:45,18:00,19:37,21:30
9,05:45,13:45,18:00,19:35,21:30
10,05:45,13:45,18:00,19:33,21:30
11,05:45,13:45,18:00,19:31,21:30
12,05:45,13:45,17:45,19:28,21:30
13,05:45,13:45,17:45,19:25,21:30
14,05:45,13:45,17:45,19:22,21:30
15,06:00,13:45,17:45,19:20,21:15
16,06:00,13:45,17:45,19:17,21:15
17,06:00,13:45,17:45,19:15,21:15
18,06:00,13:45,17:45,19:12,21:15
19,06:00,13:45,17:45,19:10,21:15
20,06:00,13:45,17:30,19:07,21:15
21,06:00,13:45,17:30,19:05,21:00
22,06:00,13:45,17:30,19:03,21:00
23,06:00,13:45,17:30,19:00,21:00
24,06:00,13:45,17:30,18:58,21:00
25,06:00,13:45,17:30,18:56,21:00
26,06:15,13:45,17:30,18:54,21:00
27,06:15,13:45,17:30,18:52,21:00
28,06:15,13:45,17:15,18:50,21:00
29,06:15,13:45,17:15,18:47,21:00
30,06:15,13:45,17:15,18:44,21:00
