Date,Fajr,Zuhr,Asr,Maghrib,Isha
1,4.30,13.45,18.45,20.56,22.45
2,4.30,13.45,18.45,20.54,22.45
3,4.45,13.45,18.45,20.53,22.45
4,4.45,13.45,18.45,20.51,22.30
5,4.45,13.45,18.45,20.49,22.30
6,4.45,13.45,18.45,20.47,22.30
7,4.45,13.45,18.45,20.46,22.30
8,4.45,13.45,18.45,20.44,22.30
9,4.45,13.45,18.45,20.43,22.30
10,4.45,13.45,18.30,20.40,22.30
11,5.00,13.45,18.30,20.37,22.30
12,5.00,13.45,18.30,20.36,22.30
13,5.00,13.45,18.30,20.33,22.30
14,5.00,13.45,18.30,20.31,22.30
15,5.00,13.45,18.30,20.29,22.30
16,5.00,13.45,18.30,20.28,22.15
17,5.00,13.45,18.30,20.26,22.15
18,5.00,13.45,18.30,20.24,22.15
19,5.00,13.45,18.30,20.21,22.15
20,5.15,13.45,18.15,20.18,22.15
21,5.15,13.45,18.15,20.16,22.15
22,5.15,13.45,18.15,20.15,22.15
23,5.15,13.45,18.15,20.13,22.00
24,5.15,13.45,18.15,20.11,22.00
25,5.15,13.45,18.15,20.09,22.00
26,5.15,13.45,18.15,20.06,22.00
27,5.30,13.45,18.15,20.05,22.00
28,5.30,13.45,18.15,20.03,22.00
29,5.30,13.45,18.15,20.00,21.45
30,5.30,13.45,18.15,19.58,21.45
31,5.30,13.45,18.15,19.56,21.45
