Date,Fajr,Zuhr,Asr,Maghrib,Isha
1,4.15,13.45,19.00,21.18,23.00
2,4.15,13.45,19.00,21.19,23.00
3,4.15,13.45,19.00,21.20,23.00
4,4.15,13.45,19.00,21.21,23.00
5,4.15,13.45,19.00,21.22,23.00
6,4.15,13.45,19.00,21.23,23.00
7,4.15,13.45,19.00,21.24,23.00
8,4.15,13.45,19.00,21.25,23.00
9,4.15,13.45,19.00,21.26,23.00
10,4.15,13.45,19.00,21.27,23.00
11,4.00,13.45,19.00,21.27,23.00
12,4.00,13.45,19.00,21.28,23.00
13,4.00,13.45,19.00,21.28,23.00
14,4.00,13.45,19.00,21.29,23.00
15,4.00,13.45,19.00,21.29,23.00
16,4.00,13.45,19.00,21.30,23.00
17,4.00,13.45,19.00,21.31,23.00
18,4.00,13.45,19.00,21.31,23.00
19,4.00,13.45,19.00,21.32,23.00
20,4.00,13.45,19.00,21.32,23.00
21,4.00,13.45,19.00,21.32,23.00
22,4.00,13.45,19.00,21.32,23.00
23,4.00,13.45,19.00,21.32,23.00
24,4.00,13.45,19.00,21.33,23.00
25,4.00,13.45,19.00,21.33,23.00
26,4.00,13.45,19.00,21.32,23.00
27,4.00,13.45,19.00,21.32,23.00
28,4.00,13.45,19.00,21.32,23.00
29,4.00,13.45,19.00,21.32,23.00
30,4.00,13.45,19.00,21.32,23.00
