date,fajr,zuhr,asr,maghrib,isha
1,7:15,13:15,14:30,17:22,19:00
2,7:15,13:15,14:30,17:24,19:00
3,7:15,13:15,14:30,17:25,19:00
4,7:15,13:15,14:30,17:26,19:00
5,7:15,13:15,14:30,17:27,19:00
6,7:15,13:15,14:45,17:28,19:00
7,7:15,13:15,14:45,17:29,19:00
8,7:15,13:15,14:45,17:31,19:00
9,7:15,13:15,14:45,17:32,19:00
10,7:15,13:15,14:45,17:34,19:00
11,7:15,13:15,14:45,17:35,19:00
12,7:15,13:15,14:45,17:37,19:00
13,7:15,13:15,14:45,17:38,19:00
14,7:15,13:15,15:00,17:40,19:00
15,7:15,13:15,15:00,17:41,19:00
16,7:15,13:15,15:00,17:42,19:00
17,7:15,13:15,15:00,17:45,19:00
18,7:15,13:15,15:00,17:46,19:00
19,7:15,13:15,15:00,17:48,19:00
20,7:15,13:15,15:00,17:50,19:00
21,7:15,13:15,15:00,17:51,19:00
22,7:15,13:15,15:00,17:53,19:00
23,7:15,13:15,15:00,17:55,19:00
24,7:15,13:15,15:15,17:56,19:00
25,7:15,13:15,15:15,17:57,19:00
26,7:15,13:15,15:15,18:00,19:00
27,7:15,13:15,15:15,18:02,19:00
28,7:15,13:15,15:15,18:04,19:00
29,7:15,13:15,15:15,18:06,19:00
30,7:15,13:15,15:15,18:08,19:00
31,7:15,13:15,15:15,18:10,19:00
