Date,Fajr,Zuhr,Asr,Maghrib,Isha
1,5.30,13.15,16.15,17.45,20.00
2,5.30,13.15,16.15,17.47,20.00
3,5.30,13.15,16.15,17.49,20.00
4,5.30,13.15,16.15,17.50,20.00
5,5.30,13.15,16.15,17.52,20.00
6,5.30,13.15,16.15,17.54,20.00
7,5.15,13.15,16.15,17.56,20.00
8,5.15,13.15,16.15,17.58,20.00
9,5.15,13.15,16.30,17.59,20.15
10,5.15,13.15,16.30,18.01,20.15
11,5.15,13.15,16.30,18.03,20.15
12,5.15,13.15,16.30,18.05,20.15
13,5.00,13.15,16.30,18.07,20.15
14,5.00,13.15,16.30,18.09,20.15
15,5.00,13.15,16.30,18.10,20.15
16,5.00,13.15,16.30,18.11,20.30
17,5.00,13.15,16.30,18.13,20.30
18,5.00,13.15,16.45,18.15,20.30
19,4.45,13.15,16.45,18.16,20.30
20,4.45,13.15,16.45,18.18,20.30
