Date,Fajr,Zuhr,Asr,Maghrib,Isha
1,07:00,13:15,15:15,16:52,19:00
2,07:00,13:15,15:15,16:54,19:00
3,07:00,13:15,15:30,16:56,19:00
4,06:45,13:15,15:30,16:58,19:15
5,06:45,13:15,15:30,17:00,19:15
6,06:45,13:15,15:30,17:02,19:15
7,06:45,13:15,15:30,17:04,19:15
8,06:45,13:15,15:30,17:06,19:15
9,06:45,13:15,15:30,17:07,19:15
10,06:45,13:15,15:30,17:09,19:15
11,06:45,13:15,15:30,17:11,19:15
12,06:45,13:15,15:30,17:13,19:15
13,06:45,13:15,15:45,17:15,19:15
14,06:45,13:15,15:45,17:17,19:30
15,06:30,13:15,15:45,17:19,19:30
16,06:30,13:15,15:45,17:21,19:30
17,06:30,13:15,15:45,17:22,19:30
18,06:30,13:15,15:45,17:24,19:30
