Date,Fajr,Zuhr,Asr,Maghrib,Isha
1,7:15,13:15,14:30,17:46,19:00
2,7:15,13:15,14:30,17:47,19:00
3,7:15,13:15,14:30,17:48,19:00
4,7:15,13:15,14:30,17:49,19:00
5,7:15,13:15,14:30,17:50,19:00
6,7:15,13:15,14:30,17:51,19:00
7,7:15,13:15,14:45,17:52,19:00
8,7:15,13:15,14:45,17:54,19:00
9,7:15,13:15,14:45,17:55,19:00
10,7:15,13:15,14:45,17:57,19:00
11,7:15,13:15,14:45,17:58,19:00
12,7:15,13:15,14:45,18:00,19:00
13,7:15,13:15,14:45,18:02,19:00
14,7:00,13:15,14:45,18:04,19:00
15,7:00,13:15,14:45,18:06,19:00
16,7:00,13:15,14:45,18:08,19:00
17,7:00,13:15,15:00,18:09,19:00
18,7:00,13:15,15:00,18:10,19:00
19,7:00,13:15,15:00,18:11,19:00
20,7:00,13:15,15:00,18:12,19:00
21,7:00,13:15,15:00,18:14,19:00
22,7:00,13:15,15:00,18:15,19:00
23,7:00,13:15,15:00,18:16,19:00
24,7:00,13:15,15:00,18:18,19:00
25,7:00,13:15,15:00,18:19,19:00
26,7:00,13:15,15:15,18:21,19:00
27,7:00,13:15,15:15,18:22,19:00
28,7:00,13:15,15:15,18:24,19:00
29,7:00,13:15,15:15,18:25,19:00
30,7:00,13:15,15:15,18:26,19:00
31,7:00,13:15,15:15,18:27,19:00
