Date,Fajr,Zuhr,Asr,Maghrib,Isha
1,06:00,13:45,17:45,19:41,21:30
2,06:00,13:45,17:45,19:43,21:30
3,06:00,13:45,17:45,19:45,21:30
4,06:00,13:45,18:00,19:47,21:30
5,05:45,13:45,18:00,19:49,21:30
6,05:45,13:45,18:00,19:50,21:30
7,05:45,13:45,18:00,19:51,21:30
8,05:45,13:45,18:00,19:53,21:30
9,05:45,13:45,18:00,19:54,21:30
10,05:45,13:45,18:00,19:56,21:45
11,05:45,13:45,18:00,19:58,21:45
12,05:45,13:45,18:00,20:00,21:45
13,05:45,13:45,18:00,20:01,21:45
14,05:30,13:45,18:15,20:02,21:45
15,05:30,13:45,18:15,20:04,21:45
16,05:30,13:45,18:15,20:06,21:45
17,05:30,13:45,18:15,20:07,21:45
18,05:30,13:45,18:15,20:09,21:45
19,05:30,13:45,18:15,20:11,22:00
20,05:30,13:45,18:15,20:13,22:00
21,05:30,13:45,18:15,20:14,22:00
22,05:30,13:45,18:15,20:16,22:00
23,05:30,13:45,18:15,20:18,22:00
24,05:15,13:45,18:15,20:19,22:00
25,05:15,13:45,18:15,20:21,22:00
26,05:15,13:45,18:15,20:23,22:00
27,05:15,13:45,18:30,20:25,22:15
28,05:15,13:45,18:30,20:27,22:15
29,05:00,13:45,18:30,20:29,22:15
30,05:00,13:45,18:30,20:31,22:15
