Date,Fajr,Zuhr,Asr,Maghrib,Isha
1st,6.00,13.15,15.30,16.36,19.00
2nd,6.00,13.15,15.15,16.35,19.00
3rd,6.15,13.15,15.15,16.34,19.00
4th,6.15,13.15,15.15,16.32,19.00
5th,6.15,13.15,15.15,16.31,19.00
6th,6.15,13.15,15.15,16.30,19.00
7th,6.15,13.15,15.00,16.28,19.00
8th,6.30,13.15,15.00,16.27,19.00
9th,6.30,13.15,15.00,16.26,19.00
10th,6.30,13.15,15.00,16.25,19.00
11th,6.30,13.15,15.00,16.24,19.00
12th,6.30,13.15,15.00,16.23,19.00
13th,6.30,13.15,15.00,16.21,19.00
14th,6.30,13.15,15.00,16.20,19.00
15th,6.45,13.15,15.00,16.19,19.00
16th,6.45,13.15,15.00,16.18,19.00
17th,6.45,13.15,15.00,16.17,19.00
18th,6.45,13.15,15.00,16.15,19.00
19th,6.45,13.15,14.45,16.14,19.00
20th,6.45,13.15,14.45,16.13,19.00
21st,6.45,13.15,14.45,16.11,19.00
22nd,6.45,13.15,14.45,16.10,19.00
23rd,6.45,13.15,14.45,16.09,19.00
24th,6.45,13.15,14.45,16.07,19.00
25th,6.45,13.15,14.45,16.06,19.00
26th,7.00,13.15,14.45,16.04,19.00
27th,7.00,13.15,14.45,16.03,19.00
28th,7.00,13.15,14.45,16.01,19.00
29th,7.00,13.15,14.45,15.59,19.00
30th,7.00,13.15,14.45,15.57,19.00
